Feature,Importance
rolling_mean_3,0.8917162163118857
lag_2,0.025614433084806754
lag_3,0.023240240468604137
lag_1,0.020190450159831272
hour_of_day,0.011532303825466463
day,0.009599856205870656
year,0.008470436016143706
month,0.005162642444982638
day_of_week,0.004473421482408636
