Model,MAE,RMSE,R2
Baseline,166.50717124127112,271.251295868288,0.9286659272175428
Random Forest,145.93772309404562,243.31728053780697,0.9426333919797522
LSTM,193.04989876907814,314.2571447891087,0.8788385718195255
