cluster,num_points,avg_traffic,latitude,longitude
0,152,3187.568349156767,51.531082855,-0.15980033270394736
1,4,2969.6161105889723,51.43042148,-0.39769188
2,8,3488.693680305206,51.3875437925,-0.268729103875
3,3,3418.6700150489087,51.67934332666667,-0.054423197666666666
4,8,2945.7426736999146,51.4531617625,-0.21010944725
5,8,3006.640625,51.41121852875,-0.306191556125
6,5,3385.7285077951005,51.584326936000004,0.2210625152
